,movie_name,avg_rating,year
0,Toy Story (1995),3.92,1995
1,Jumanji (1995),3.21,1995
2,Grumpier Old Men (1995),3.15,1995
3,Waiting to Exhale (1995),2.86,1995
4,Father of the Bride Part II (1995),3.06,1995
5,Heat (1995),3.83,1995
6,Sabrina (1995),3.37,1995
7,Tom and Huck (1995),3.14,1995
8,Sudden Death (1995),3.00,1995
9,GoldenEye (1995),3.43,1995
10,"American President, The (1995)",3.67,1995
11,Dracula: Dead and Loving It (1995),2.62,1995
12,Balto (1995),3.27,1995
13,Nixon (1995),3.43,1995
14,Cutthroat Island (1995),2.72,1995
15,Casino (1995),3.79,1995
16,Sense and Sensibility (1995),3.97,1995
17,Four Rooms (1995),3.37,1995
18,Ace Ventura: When Nature Calls (1995),2.61,1995
19,Money Train (1995),2.88,1995
20,Get Shorty (1995),3.58,1995
21,Copycat (1995),3.32,1995
22,Assassins (1995),3.15,1995
23,Powder (1995),3.20,1995
24,Leaving Las Vegas (1995),3.69,1995
25,Othello (1995),3.63,1995
26,Now and Then (1995),3.41,1995
27,Persuasion (1995),4.06,1995
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3.95,1995
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.63,1995
30,Dangerous Minds (1995),3.25,1995
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.90,1995
32,Babe (1995),3.64,1995
33,Carrington (1995),3.50,1995
34,Dead Man Walking (1995),3.94,1995
35,It Takes Two (1995),2.86,1995
36,Clueless (1995),3.41,1995
37,"Cry, the Beloved Country (1995)",3.65,1995
38,Richard III (1995),3.85,1995
39,Dead Presidents (1995),3.06,1995
40,Restoration (1995),3.47,1995
41,Mortal Kombat (1995),2.65,1995
42,To Die For (1995),3.38,1995
43,How to Make an American Quilt (1995),3.27,1995
44,Seven (a.k.a. Se7en) (1995),4.05,1995
45,Pocahontas (1995),2.95,1995
46,"Usual Suspects, The (1995)",4.33,1995
47,Mighty Aphrodite (1995),3.54,1995
48,"Big Green, The (1995)",2.85,1995
49,Georgia (1995),3.24,1995
50,Home for the Holidays (1995),3.32,1995
51,"Postman, The (Postino, Il) (1994)",3.98,1994
52,"Indian in the Cupboard, The (1995)",3.11,1995
53,Eye for an Eye (1996),3.32,1996
54,Mr. Holland's Opus (1995),3.73,1995
55,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),3.07,1996
56,Two if by Sea (1996),2.83,1996
57,Bio-Dome (1996),2.39,1996
58,Lawnmower Man 2: Beyond Cyberspace (1996),2.14,1996
59,French Twist (Gazon maudit) (1995),3.44,1995
60,Friday (1995),3.56,1995
61,From Dusk Till Dawn (1996),3.28,1996
62,Fair Game (1995),2.36,1995
63,Kicking and Screaming (1995),3.50,1995
64,"Misérables, Les (1995)",3.81,1995
65,Bed of Roses (1996),3.30,1996
66,Big Bully (1996),2.46,1996
67,Screamers (1995),3.01,1995
68,"Crossing Guard, The (1995)",3.18,1995
69,"Juror, The (1996)",3.13,1996
70,"White Balloon, The (Badkonake sefid) (1995)",3.72,1995
71,Things to Do in Denver When You're Dead (1995),3.27,1995
72,Antonia's Line (Antonia) (1995),4.00,1995
73,Once Upon a Time... When We Were Colored (1995),3.65,1995
74,Angels and Insects (1995),3.53,1995
75,White Squall (1996),3.48,1996
76,Dunston Checks In (1996),2.36,1996
77,Black Sheep (1996),3.11,1996
78,Nick of Time (1995),3.14,1995
79,Mary Reilly (1996),2.85,1996
80,Vampire in Brooklyn (1995),2.53,1995
81,Beautiful Girls (1996),3.53,1996
82,Broken Arrow (1996),3.09,1996
83,In the Bleak Midwinter (1995),3.69,1995
84,"Hate (Haine, La) (1995)",4.00,1995
85,Heidi Fleiss: Hollywood Madam (1995),3.11,1995
86,City Hall (1996),3.22,1996
87,Bottle Rocket (1996),3.79,1996
88,Mr. Wrong (1996),2.43,1996
89,Unforgettable (1996),3.27,1996
90,Happy Gilmore (1996),3.42,1996
91,"Bridges of Madison County, The (1995)",3.33,1995
92,Muppet Treasure Island (1996),3.22,1996
93,Braveheart (1995),4.04,1995
94,Taxi Driver (1976),4.11,1976
95,Rumble in the Bronx (Hont faan kui) (1995),3.41,1995
96,Before and After (1996),3.11,1996
97,Anne Frank Remembered (1995),3.94,1995
98,"Young Poisoner's Handbook, The (1995)",3.59,1995
99,If Lucy Fell (1996),3.01,1996
100,"Steal Big, Steal Little (1995)",2.77,1995
101,"Boys of St. Vincent, The (1992)",3.75,1992
102,Boomerang (1992),2.87,1992
103,Chungking Express (Chung Hing sam lam) (1994),3.97,1994
104,"Star Maker, The (Uomo delle stelle, L') (1995)",3.50,1995
105,Flirting With Disaster (1996),3.76,1996
106,"NeverEnding Story III, The (1994)",2.31,1994
107,Jade (1995),2.77,1995
108,Down Periscope (1996),3.00,1996
109,Up Close and Personal (1996),3.29,1996
110,"Birdcage, The (1996)",3.51,1996
111,"Brothers McMullen, The (1995)",3.48,1995
112,Bad Boys (1995),3.25,1995
113,"Amazing Panda Adventure, The (1995)",2.91,1995
114,"Basketball Diaries, The (1995)",3.58,1995
115,"Awfully Big Adventure, An (1995)",2.89,1995
116,Amateur (1994),3.69,1994
117,Apollo 13 (1995),3.87,1995
118,Rob Roy (1995),3.54,1995
119,"Addiction, The (1995)",3.10,1995
120,Batman Forever (1995),2.89,1995
121,Beauty of the Day (Belle de jour) (1967),3.80,1967
122,Beyond Rangoon (1995),3.41,1995
123,Blue in the Face (1995),3.53,1995
124,Canadian Bacon (1995),2.78,1995
125,Casper (1995),2.93,1995
126,Clockers (1995),3.42,1995
127,Congo (1995),2.60,1995
128,Crimson Tide (1995),3.74,1995
129,Crumb (1994),4.01,1994
130,Desperado (1995),3.45,1995
131,Devil in a Blue Dress (1995),3.46,1995
132,Die Hard: With a Vengeance (1995),3.49,1995
133,"Doom Generation, The (1995)",2.79,1995
134,First Knight (1995),3.08,1995
135,Free Willy 2: The Adventure Home (1995),2.28,1995
136,Hackers (1995),3.20,1995
137,Jeffrey (1995),3.60,1995
138,Johnny Mnemonic (1995),2.73,1995
139,Judge Dredd (1995),2.54,1995
140,Jury Duty (1995),2.46,1995
141,Kids (1995),3.51,1995
142,Living in Oblivion (1995),3.85,1995
143,Lord of Illusions (1995),2.89,1995
144,Love & Human Remains (1993),3.39,1993
145,Mad Love (1995),2.75,1995
146,Mallrats (1995),3.59,1995
147,Mighty Morphin Power Rangers: The Movie (1995),1.93,1995
148,Moonlight and Valentino (1995),3.09,1995
149,Mute Witness (1994),3.36,1994
150,Nadja (1994),3.10,1994
151,"Net, The (1995)",3.11,1995
152,Nine Months (1995),2.89,1995
153,Party Girl (1995),3.45,1995
154,"Prophecy, The (1995)",3.34,1995
155,Reckless (1995),3.00,1995
156,Safe (1995),3.57,1995
157,"Scarlet Letter, The (1995)",2.68,1995
158,Showgirls (1995),2.23,1995
159,Smoke (1995),3.85,1995
160,Something to Talk About (1995),3.09,1995
161,Species (1995),2.85,1995
162,Strange Days (1995),3.42,1995
163,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.78,1964
164,"Tie That Binds, The (1995)",2.84,1995
165,Three Wishes (1995),3.03,1995
166,Total Eclipse (1995),2.98,1995
167,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3.15,1995
168,Under Siege 2: Dark Territory (1995),2.95,1995
169,Unstrung Heroes (1995),3.52,1995
170,Unzipped (1995),3.48,1995
171,"Walk in the Clouds, A (1995)",3.37,1995
172,Waterworld (1995),2.85,1995
173,White Man's Burden (1995),2.84,1995
174,Wild Bill (1995),2.89,1995
175,"Browning Version, The (1994)",3.60,1994
176,Bushwhacked (1995),2.58,1995
177,Burnt by the Sun (Utomlyonnye solntsem) (1994),4.04,1994
178,Before the Rain (Pred dozhdot) (1994),4.05,1994
179,Before Sunrise (1995),3.84,1995
180,Billy Madison (1995),3.26,1995
181,"Babysitter, The (1995)",2.73,1995
182,Boys on the Side (1995),3.29,1995
183,"Cure, The (1995)",3.62,1995
184,Castle Freak (1995),2.40,1995
185,Circle of Friends (1995),3.54,1995
186,Clerks (1994),3.87,1994
187,Don Juan DeMarco (1995),3.44,1995
188,Disclosure (1994),3.29,1994
189,Drop Zone (1994),3.07,1994
190,Destiny Turns on the Radio (1995),2.69,1995
191,Death and the Maiden (1994),3.56,1994
192,Dolores Claiborne (1995),3.59,1995
193,Dumb & Dumber (Dumb and Dumber) (1994),2.95,1994
194,Eat Drink Man Woman (Yin shi nan nu) (1994),4.04,1994
195,Exotica (1994),3.52,1994
196,Exit to Eden (1994),2.68,1994
197,Ed Wood (1994),3.66,1994
198,French Kiss (1995),3.32,1995
199,Forget Paris (1995),3.22,1995
200,Far From Home: The Adventures of Yellow Dog (1995),3.17,1995
201,"Goofy Movie, A (1995)",3.05,1995
202,Hideaway (1995),2.91,1995
203,Fluke (1995),3.03,1995
204,Farinelli: il castrato (1994),3.39,1994
205,Gordy (1995),2.53,1995
206,Gumby: The Movie (1995),2.38,1995
207,"Glass Shield, The (1994)",2.98,1994
208,Hoop Dreams (1994),4.04,1994
209,Heavenly Creatures (1994),3.84,1994
210,Houseguest (1994),3.03,1994
211,Immortal Beloved (1994),3.68,1994
212,Heavyweights (Heavy Weights) (1995),2.99,1995
213,"Hunted, The (1995)",3.05,1995
214,I.Q. (1994),3.22,1994
